#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
2.085215,30,33.41947
8.303128,30,33.436335
6.843968,30,33.466216
1.228718,30,33.494491
4.187839,30,33.51749
10.944603,30,33.529146
4.092713,30,33.573627
7.169082,30,33.587224
9.247132,30,33.629775
8.336691,30,33.658438
7.415751,30,33.684982
1.079827,30,33.708704
5.289981,30,33.731939
7.237698,30,33.759562
6.351928,30,33.785496
10.640133,30,33.811004
10.011821,30,33.838704
6.886454,30,33.862789
7.642379,30,33.890359
8.03879,30,33.909112
7.465934,30,33.940526
9.201769,30,33.950526
6.06498,30,33.982313
9.858221,30,34.01324
8.06978,30,36.237137
7.401156,30,36.279607
9.649991,30,36.317369
11.427842,30,36.365506
6.978178,30,36.401561
7.841799,30,36.437126
9.897545,30,36.471831
8.147014,30,36.49946
3.690137,30,36.532503
5.187127,30,36.544509
4.699904,30,36.576343
7.173175,30,36.616956
8.869406,30,36.642757
3.994899,30,36.675224
10.284393,30,36.68423
6.521289,30,36.732689
6.307717,30,36.762891
9.038363,30,36.789766
9.493055,30,36.815263
3.914791,30,36.832857
8.925485,30,36.871127
8.644945,30,36.889192
9.670099,30,36.923832
3.410484,30,36.949749
10.618408,30,36.978655
2.723168,30,37.004659
5.803351,30,37.03249
6.905175,30,37.052698
9.254675,30,37.086381
6.765193,30,37.111233
4.785058,30,37.142928
3.71664,30,37.175848
9.897306,30,37.201504
9.678196,30,37.233337
9.933027,30,37.261012
7.248254,30,37.285866
9.031446,30,37.313876
4.397466,30,37.342898
10.762521,30,37.368353
9.804238,30,37.388896
10.441118,30,37.420902
1.10688,30,37.436345
5.35357,30,37.467686
0.931988,30,37.48264
10.160604,30,37.522313
4.503635,30,37.543907
5.653799,30,37.560815
8.944926,30,37.592762
7.420551,30,37.622693
6.297952,30,37.652545
7.553339,30,37.681647
6.471857,30,37.708339
8.653201,30,37.731248
-0.471519,30,37.757021
7.261502,30,37.784885
6.073216,30,37.79473
7.987049,30,37.834474
4.858124,30,37.857277
7.033102,30,37.889212
2.841482,30,37.91506
7.499559,30,37.941996
8.175354,30,37.949996
8.795342,30,37.996275
3.8117,30,38.019154
3.762854,30,38.035063
6.929489,30,38.066787
6.881715,30,38.096966
8.011696,30,38.12199
8.573498,30,38.151722
1.858457,30,40.326539
8.798246,30,40.357302
7.816451,30,40.402586
4.041112,30,40.443164
9.90689,30,40.478894
5.084944,30,40.512414
3.819243,30,40.542662
6.77227,30,40.572499
8.557543,30,40.592413
11.130397,30,40.622192
8.274951,30,40.654078
7.32093,30,40.681947
9.461742,30,40.703241
3.441938,30,40.741793
5.013455,30,40.763663
9.083754,30,40.798218
